,Date,Country,City,Street,Latitude,Longitude
40240,30 abr 2025,MX,Guadalajara,Ramón Corona,20.668479,-103.346104
40241,30 abr 2025,MX,Tlaquepaque,Ramón Corona,20.552351,-103.448398
40242,30 abr 2025,MX,Tlaquepaque,Aeropuerto,20.588966,-103.321432
40243,30 abr 2025,MX,Tlaquepaque,Agustín Rivera,20.547132,-103.443601
40244,30 abr 2025,MX,Guadalajara,,20.660005,-103.383848
40245,30 abr 2025,MX,Guadalajara,Ramón López Velarde,20.652553,-103.309976
40246,30 abr 2025,MX,Guadalajara,Ramón López Velarde,20.651392,-103.310215
40247,30 abr 2025,MX,Zapopan,,20.776422,-103.398699
40248,30 abr 2025,MX,Zapopan,Real Acueducto,20.709053,-103.410265
40249,30 abr 2025,MX,Zapopan,Real Acueducto,20.708834,-103.409852
40250,30 abr 2025,MX,Zapopan,,20.709493,-103.407611
40251,30 abr 2025,MX,Guadalajara,Retorno,20.721035,-103.317719
40252,30 abr 2025,MX,Zapopan,Lateral Av. López Mateos Sur,20.654003,-103.401074
40253,30 abr 2025,MX,Zapopan,Lateral Av. López Mateos Sur,20.643145,-103.407957
40254,30 abr 2025,MX,Zapopan,Retorno,20.713606,-103.372708
40255,30 abr 2025,MX,Zapopan,,20.624383,-103.422798
40256,30 abr 2025,MX,Zapopan,Alberto Mora López,20.764177,-103.338036
40257,30 abr 2025,MX,Tlaquepaque,Retorno,20.607433,-103.403874
40258,30 abr 2025,MX,Guadalajara,Retorno,20.720917,-103.316507
40259,30 abr 2025,MX,Zapopan,1 de Noviembre,20.768411,-103.419935
40260,30 abr 2025,MX,Zapopan,Retorno,20.629458,-103.435252
40261,30 abr 2025,MX,Guadalajara,Lateral Av. López Mateos Sur,20.667646,-103.392031
40262,30 abr 2025,MX,Zapopan,5 de Mayo,20.720661,-103.388583
40263,30 abr 2025,MX,Zapopan,Retorno,20.71824,-103.482276
40264,30 abr 2025,MX,Zapopan,Retorno / Las Cañadas / Carrt. Tesistán,20.739501,-103.383194
40265,30 abr 2025,MX,Zapopan,Lateral Av. López Mateos Sur,20.643803,-103.407821
40266,30 abr 2025,MX,Tlaquepaque,Retorno a ITESO,20.61152,-103.420868
40267,30 abr 2025,MX,Guadalajara,Aldama,20.670366,-103.337744
40268,30 abr 2025,MX,Zapopan,5 de Mayo,20.716998,-103.389532
40269,30 abr 2025,MX,Tlaquepaque,Ricardo Flores Magón,20.603756,-103.289334
40270,30 abr 2025,MX,Zapopan,Lateral Av. López Mateos Sur,20.655378,-103.400165
40271,30 abr 2025,MX,Zapopan,6 de Enero Pte.,20.761312,-103.437944
40272,30 abr 2025,MX,Guadalajara,Lateral Av. López Mateos Sur,20.662217,-103.395339
40273,30 abr 2025,MX,Guadalajara,Rinconada de las Praderas,20.65616,-103.388335
40274,30 abr 2025,MX,Guadalajara,Alfredo R. Plascencia,20.678905,-103.371733
40275,30 abr 2025,MX,Guadalajara,Roble,20.657551,-103.368718
40276,30 abr 2025,MX,Guadalajara,Rodolfo Navarrete,20.628593,-103.357471
40277,30 abr 2025,MX,Guadalajara,Rodolfo Navarrete,20.630038,-103.356856
40278,30 abr 2025,MX,Zapopan,Lateral Av. López Mateos Sur,20.622381,-103.421702
40279,30 abr 2025,MX,Zapopan,Allende,20.619039,-103.454588
40280,30 abr 2025,MX,Zapopan,6 de Enero Pte.,20.761442,-103.438129
40281,30 abr 2025,MX,Guadalajara,Rubén Darío,20.68378,-103.385241
40282,30 abr 2025,MX,Zapopan,Rudyar Kipling,20.684315,-103.417844
40283,30 abr 2025,MX,Zapopan,Lateral Av. López Mateos Sur,20.617374,-103.425005
40284,30 abr 2025,MX,Guadalajara,Ruiseñor,20.650164,-103.36242
40285,30 abr 2025,MX,Zapopan,Sagitario,20.63051,-103.420037
